instrument_key,exchange_token,tradingsymbol,name,last_price,,,tick_size,lot_size,instrument_type,,exchange
NSE_EQ|INE075B01020,19440,SICALLOG,SICAL LOGISTICS LIMITED,118.97,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN1920200079,21927,57KA26,SDL KA 5.7% 2026,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2820240082,23753,747PN32,SDL PN 7.47% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2820240074,23636,753PN37,SDL PN 7.53% 2037,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE414G07IR6,20749,878MFL27,MFL 8.78% 2027,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN2820240066,23635,753PN36,SDL PN 7.53% 2036,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1920200095,21930,609KA28,SDL KA 6.09% 2028,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE575P01011,7083,STARHEALTH,STAR HEALTH & AL INS CO L,424.8,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE778B01029,24265,ESTER,ESTER INDUSTRIES LTD,126.2,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN1320210108,6877,687BR30A,SDL BR 6.87% 2030,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE142K01011,31472,LYPSAGEMS,LYPSA GEMS & JEWEL LTD,7.73,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN1320210124,7152,684BR30,SDL BR 6.84% 2030,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INF174KA1VD2,29758,MSCIINDIA,KOTAKMAMC - MSCIINDIA,29.8,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE053F08502,756947,665IRFC30,IRFCL 6.65% 2030 SR 190,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN1320210116,7043,683BR30,SDL BR 6.83% 2030,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1320210140,8298,713BR32,SDL BR 7.13% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE053F08510,758169,647IRFC28,IRFC 6.47% 2028 SR 191A,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE629D01020,14511,BANSWRAS,BANSWARA SYNTEX LIMITED,148.19,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE053F08528,758167,658IRFC30,IRFC 6.58% 2030 SR 191B,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN1320210132,7870,724BR32,SDL BR 7.24% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE414G07JF9,23768,902MFL27,MFL 9.02% 2027,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE642Y01029,4920,HINDCON,HINDCON CHEMICALS LIMITED,35.57,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INF174KA1UW4,29944,NIFTY100EW,KOTAKMAMC - NIFTY100EW,32.89,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE414G07JE2,23665,903MFL29,MFL 9.03%2029 SR33A OPII,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN2020210224,8713,74KL37,SDL KL 7.4% 2037,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1920200103,22265,64KA30,SDL KA 6.4% 2030,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE414G07JH5,24512,897MFL27,MFL 8.97% 2027,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INF109K1A153,755881,EVIETF,ICICIPRAMC - EVIETF,29.02,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE414G07JG7,23988,909MFL29,MFL 9.09% 2029 SR 35A,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN0020100031,6981,83GS2040,GOI LOAN 8.30% 2040,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE414G07JB8,23361,890MFL27,MFL 8.90% 2027,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE351A01035,3579,UNICHEMLAB,UNICHEM LABORATORIES LTD,590.85,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE414G07JA0,22513,885MFL29,MFL 8.85% 2029,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0R8M01017,22914,OWAIS,OWAIS METAL & MINERAL,561.25,,,0.05,100,EQUITY,,NSE_EQ
NSE_EQ|INE414G07JD4,23667,895MFL27,MFL 8.95% 2027 SR33A OPI,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE737H01014,13710,FIEMIND,FIEM INDUSTRIES LIMITED,1913.7,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE414G07JC6,23363,MUTF27,MFL REPO RATE LINK 2027,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN2020210208,8686,731KL32,SDL KL 7.31% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2820240173,24649,734PN35,SDL PN 7.34% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2020210190,8579,742KL34,SDL KL 7.42% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1920200160,22370,664KA32,SDL KA 6.64% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE692Q07563,756930,769TFSIL28,TFSIL 7.6950% 2028 SRS52,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE916U01025,19184,SFL,SHEELA FOAM LIMITED,677.4,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE414G07JN3,755984,852MFL28,MFL 8.52% 2028 OP I,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN2020210182,8329,717KL32,SDL KL 7.17% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1920200152,22368,65KA30,SDL KA 6.5% 2030,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2820240165,24666,734PN32,SDL PN 7.34% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE414G07JM5,30147,860MFL28,MFL 8.60% 2028,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN1920200186,22421,677KA33,SDL KA 6.77% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2820240157,24333,738PN34,SDL PN 7.38% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE414G07JP8,756714,820MFL30,MFL 8.20% 2030 SR 43A,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN1920200178,22410,663KA30,SDL KA 6.63% 2030,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2820240140,24331,738PN33,SDL PN 7.38% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE414G07JO1,755986,852MFL28A,MFL 8.52% 2028 OP II,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN2820240132,24099,739PN33,SDL PN 7.39% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE692Q07514,24482,820TFSIL29,TFSIL 8.20% 2029 SR 47,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE692Q07522,24695,818TFSIL27,TFSIL 8.1841% 27 SR S48,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN2020210158,5891,699KL36,SDL KL 6.99% 2036,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE414G07JJ1,25742,878MUTF29,MUTF 8.78% 2029,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN2020210141,5737,686KL35,SDL KL 6.86% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2820240124,24057,741PN34A,SDL PN 7.41% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1920200111,22266,64KA31,SDL KA 6.4% 2031,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE692Q07530,28539,799TFSIL27,TFSIL 7.99% 2027 SR 49,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0PT501018,22930,PLATIND,PLATINUM INDUSTRIES LTD,266.4,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|IN2820240116,24008,747PN37,SDL PN 7.47% 2037,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE414G07JI3,24794,890MFL27A,MFL 8.90% 2027,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN1920200145,22336,649KA31,SDL KA 6.49% 2031,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE766P01016,385,MAHLOG,MAHINDRA LOGISTIC LIMITED,378.85,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE863B01029,17397,PREMEXPLN,PREMIER EXPLOSIVES LTD,544.85,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|IN2020210174,7541,714KL35,SDL KL 7.14% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE414G07JL7,29469,865MFL28,MFL 8.65% 2028,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN2820240108,24007,748PN35,SDL PN 7.48% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1920200137,22335,648KA30,SDL KA 6.48% 2030,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE414G07JK9,29184,867MUTF30,MUTF 8.67% 2030,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE692Q07548,29202,806TFSIL28,TFSIL 8.06% 2028 SR S50,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE358U01012,11394,ZOTA,ZOTA HEALTH CARE LIMITED,1203.2,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE11HF01010,758346,EEPL,EPPELTONE ENGINEERS LTD,225.55,,,0.05,1000,EQUITY,,NSE_EQ
NSE_EQ|INE540G01014,15234,AMBIKCO,AMBIKA COTTON MILL LTD.,1607.8,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE670B01028,20886,GANGOTRI,GANGOTRI TEXTILES LTD.,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE692Q07555,30496,805TFSIL28,TFSIL 8.0504% 2028,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN1920200129,22302,632KA28,SDL KA 6.32% 2028,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2020210166,5991,705KL36,SDL KL 7.05% 2036,0,,,0.01,100,EQUITY,,NSE_EQ
